Shortcut,Code,B&F,Taxon,Vernacular,Taxon group,Grade,specific
lasab,62.0021,1431,Lamoria sabella,Large Date Moth,Micro-moth,3,sabella
62.0025,62.0025,,Lamoria anella,,Micro-moth,Ungraded,anella
laane,62.0025,,Lamoria anella,,Micro-moth,Ungraded,anella
lamoria anella,62.0025,,Lamoria anella,,Micro-moth,Ungraded,anella
62.003,62.003,1430,Aphomia gularis,Stored Nut Moth,Micro-moth,2,gularis
1430,62.003,1430,Aphomia gularis,Stored Nut Moth,Micro-moth,2,gularis
apgul,62.003,1430,Aphomia gularis,Stored Nut Moth,Micro-moth,2,gularis
aphomia gularis,62.003,1430,Aphomia gularis,Stored Nut Moth,Micro-moth,2,gularis
stored nut moth,62.003,1430,Aphomia gularis,Stored Nut Moth,Micro-moth,2,gularis
62.004,62.004,1427,Aphomia cephalonica,Rice Moth,Micro-moth,2,cephalonica
1427,62.004,1427,Aphomia cephalonica,Rice Moth,Micro-moth,2,cephalonica
apcep,62.004,1427,Aphomia cephalonica,Rice Moth,Micro-moth,2,cephalonica
aphomia cephalonica,62.004,1427,Aphomia cephalonica,Rice Moth,Micro-moth,2,cephalonica
rice moth,62.004,1427,Aphomia cephalonica,Rice Moth,Micro-moth,2,cephalonica
62.005,62.005,1426,Achroia grisella,Lesser Wax Moth,Micro-moth,1,grisella
1426,62.005,1426,Achroia grisella,Lesser Wax Moth,Micro-moth,1,grisella
